id	lowercased_utterance
books_102240	хайде в лудницата
books_70912	ако някоя глупава рибка лапне червея хваща се на куката и я издърпват
books_85006	на господаря да се струваш симпатичен
books_75192	какъв е пък тоя
UTT_022591	много е трудно и аз не мога да го маxна
books_36878	утре те ще отидат на полето ще вземат и детето си
books_60529	мокси не намери за нужно да се приближи чак толкоз близо обади се отдалеч и кой знае защо заинтересува се за здравето на лиско
books_84860	така на страст и идеал
books_56129	май че го отвори
books_46819	в десницата си господарю ти държиш един меч което е страшило за враговете а с лявата прегръщаш едно момиче по-скъпо от всички земни съкровища
books_92422	кобилката пи дълго и жадно
books_87989	предложи емил който беше безстрашен и храбър колкото си иска но алфред не искаше
UTT_015864	ти преди викаше няма я а сега няма го повече
books_4175	отворил вратата и се стъписал жълтиците разпилени по земята а между чувалите се разхождат две магарици
UTT_037866	о боже туй дете
books_17592	дядо вълчан ми оставил половин менче мляко и грудка сирене в захлупците
books_39097	тъй направи и синът на търговеца
UTT_030826	а кой пуши цигари
UTT_011387	какво е това с дългите ушички
books_8446	но вий се пазете
books_107959	а по-младата пък рече
books_25492	шивачът избрал най-едрия камък и отново с всички сили го запратил върху гърдите на първия великан
UTT_021570	котето помириса ли го
books_97399	маншон удари спирачките и колата спря
UTT_017316	xубаво ли е мамо бебето
books_95097	няма нищо усмихна се маншон
books_58237	а можеше още да поживееш приятелю
UTT_026331	тати да ти даде едно кремче да си намажете бузките където сте уxапани
books_19654	при тези думи тя измъкна тапите от всички шишета изсипа съдържанието им в едно от тях и здравата го разтърси
books_84291	а бягах без
books_66218	и не напразно снощи той си измисли думата без да й знае значението
books_3319	стигнаха пъклен дом и видяха че отпред му имаше голяма табела
UTT_018029	какво направи ти
books_28520	но въпреки това не му се понравила и не можел да я погледне без да изтръпне
books_74717	ала след два дни дойдоха яребиците и се преселиха в тревата
books_942	настаняваме ви в най-безопасното място с което разполагаме
UTT_038494	изчисти ли се лака
books_108686	а тъй като дворът се намираше на наклон бъчвите погнаха румцайс
UTT_001815	гледаме да
UTT_003509	ти лягай тука
