sentence_number	tsv_row_index	id	source	lowercased_utterance
30	30	UTT_000060	UTT	цункай мама
52	52	UTT_000098	UTT	пей мамо
60	60	UTT_000108	UTT	ау дядо
68	68	UTT_000130	UTT	там ли
115	115	UTT_000230	UTT	скарай се на кака
137	137	UTT_000272	UTT	защо ги биеш мамо
140	140	UTT_000278	UTT	няма ги животните
176	176	UTT_000345	UTT	на-на како
196	196	UTT_000404	UTT	чакай айде ам
205	205	UTT_000422	UTT	а тука кое е това бебе
210	210	UTT_000432	UTT	цункай там
213	213	UTT_000439	UTT	ще чете
214	214	UTT_000440	UTT	какво ще четеш мамо
226	226	UTT_000463	UTT	дай на мама джиджито
254	254	UTT_000525	UTT	титя ли искаш
282	282	UTT_000584	UTT	ши наня ли детето
286	286	UTT_000593	UTT	какво мамо
301	301	UTT_000626	UTT	кажи патенце
312	312	UTT_000650	UTT	виж кой е тука
322	322	UTT_000671	UTT	о-о шапка
343	343	UTT_000721	UTT	какво да прави мама
346	346	UTT_000725	UTT	ами защо да дойде мама
361	361	UTT_000769	UTT	пей я
394	394	UTT_000837	UTT	е как ще ги обуеш
410	410	UTT_000874	UTT	сапун е това
433	433	UTT_000909	UTT	кафени чашки
436	436	UTT_000913	UTT	лельо питам я xубаво ли е тя не
438	438	UTT_000915	UTT	саше xубаво ли е
554	554	UTT_001157	UTT	кой е този
560	560	UTT_001168	UTT	а-у че си страшна
579	579	UTT_001204	UTT	какво има саши
601	601	UTT_001281	UTT	мики го няма
624	624	UTT_001328	UTT	какво е това на снимката я виж
664	664	UTT_001407	UTT	а тука кой е
686	686	UTT_001454	UTT	а тези жълтурчета кои са мамо
689	689	UTT_001466	UTT	на кого викаш браво
700	700	UTT_001489	UTT	саше искаш ли чайче бе мамо
712	712	UTT_001513	UTT	какво правят децата
720	720	UTT_001527	UTT	къде да легна
722	722	UTT_001530	UTT	не щъ
730	730	UTT_001541	UTT	виж мама вели и сашето на количката
748	748	UTT_001569	UTT	падна ли мамо това
751	751	UTT_001576	UTT	какво лапа това дете
810	810	UTT_001687	UTT	какво да дам
829	829	UTT_001722	UTT	кой е този
869	869	UTT_001800	UTT	искаш коричка
930	930	UTT_001929	UTT	какво има там
935	935	UTT_001941	UTT	дай още една книжка
966	966	UTT_002006	UTT	защо плачи мамата
998	998	UTT_002070	UTT	не я виждам
1000	1000	UTT_002073	UTT	къде си удари крачето
1009	1009	UTT_002086	UTT	от кой те е страx
1031	1031	UTT_002124	UTT	какво пие мама
1036	1036	UTT_002134	UTT	той ще плачи
1051	1051	UTT_002162	UTT	какво ще ти донесе дядо мраз
1058	1058	UTT_002177	UTT	я виж тук
1067	1067	UTT_002200	UTT	кой ще ляга бе
1068	1068	UTT_002202	UTT	при мики маус ще си лягаш
1141	1141	UTT_002340	UTT	а тука
1152	1152	UTT_002362	UTT	митко попов
1153	1153	UTT_002364	UTT	на колко години е татко
1156	1156	UTT_002370	UTT	дядо какво прави тука
1176	1176	UTT_002409	UTT	дядо мраз какво прави и коя е тази с него
1208	1208	UTT_002471	UTT	спи ли тати
1230	1230	UTT_002518	UTT	на тати панталона да
1281	1281	UTT_002614	UTT	кой се обади мамо
1317	1317	UTT_002683	UTT	какво е оставило сашето в креватчето
1345	1345	UTT_002745	UTT	кой да те пусне
1361	1361	UTT_002778	UTT	много ли са тате кестенчетата
1384	1384	UTT_002832	UTT	да пусна музиката
1388	1388	UTT_002841	UTT	бети уилма а фред
1400	1400	UTT_002869	UTT	да ти разкажа за кума лиса
1427	1427	UTT_002927	UTT	какво ще правиш сега там
1443	1443	UTT_002963	UTT	були моряка ли обичаш
1444	1444	UTT_002965	UTT	ти ли го обичаш
1451	1451	UTT_002979	UTT	разкажи ми за маша приказката
1477	1477	UTT_003034	UTT	ами къде е глупачката
1498	1498	UTT_003074	UTT	на ти сега да си четеш а мама да отиде да види супата
1539	1539	UTT_003158	UTT	а така
1585	1585	UTT_003257	UTT	какво се друсаш сега
1637	1637	UTT_003356	UTT	о-о ти си напълнила гърнето
1643	1643	UTT_003366	UTT	скарай се на кака да ляга че не ще да спи
1656	1656	UTT_003389	UTT	на мамичка
1661	1661	UTT_003398	UTT	айде долу айде долу
1670	1670	UTT_003418	UTT	лягай веднага
1705	1705	UTT_003486	UTT	мама е принцеса а татко
1748	1748	UTT_003559	UTT	бабо слез да те изям
1778	1778	UTT_003632	UTT	xайде за трите мечки разкажи
1784	1784	UTT_003652	UTT	ами сега
