POS	WORD	SEGMENTED
ADJ	xапни	xапни
ADJ	xраниш	xраниш
ADJ	xрупкавите	xрупкавите
ADJ	xубав	xубав
ADJ	xубава	xубав+а
ADJ	xубавата	xубавата
ADJ	xубави	xубав+и
ADJ	xубавите	xубави+те
ADJ	xубавичко	xубавичко
ADJ	xубаво	xубав+о
ADJ	xубавото	xубавото
ADJ	xуббава	xуббава
ADJ	абаносово	абаносово
ADJ	абаносовото	абаносовото
ADJ	абсолютен	абсолютен
ADJ	абсолютна	абсолютна
ADJ	абсолютната	абсолютната
ADJ	абсолютни	абсолютни
ADJ	абсолютно	абсолютно
ADJ	абсурдни	абсурдни
ADJ	августовски	августовски
ADJ	австралийския	австралийския
ADJ	австралийско	австралийско
ADJ	австрийски	австрийски
ADJ	автомобилна	автомобилна
ADJ	автомобилната	автомобилната
ADJ	автомобилни	автомобилни
ADJ	автомобилните	автомобилна+те
ADJ	агнешка	агнешка
ADJ	агнешки	агнешки
ADJ	агнешките	агнешка+те
ADJ	адамова	адамова
ADJ	адвокатския	адвокатския
ADJ	адресирано	адресирано
ADJ	адресната	адресната
ADJ	адриановото	адриановото
ADJ	адски	адски
ADJ	адските	адски+те
ADJ	адско	адско
ADJ	азбучни	азбучни
ADJ	азиатска	азиатска
ADJ	айди	айди
ADJ	ал'оношка	ал'оношка
ADJ	ален	ален
ADJ	алени	ален+и
ADJ	аленото	аленото
ADJ	алисиното	алисиното
ADJ	алчен	алчен
ADJ	алчната	алчната
ADJ	алчни	алчни
ADJ	алчния	алчни+я
ADJ	алчният	алчни+ят
ADJ	американски	американски
ADJ	американските	американски+те
ADJ	американското	американското
ADJ	анадолски	анадолски
ADJ	ангелово	ангелово
ADJ	ангелска	ангелска
ADJ	английска	английска
ADJ	английски	английски
ADJ	андерсенови	андерсенови
ADJ	анонимно	анонимно
ADJ	античните	античните
ADJ	апетитната	апетитната
ADJ	апетитни	апетитни
ADJ	апостолска	апостолска
ADJ	апотеозен	апотеозен
ADJ	априлски	априлски
ADJ	аптекарската	аптекарската
ADJ	аптекарски	аптекарски
ADJ	арабски	арабски
ADJ	арабско	арабско
ADJ	аристократична	аристократична
ADJ	аритметичните	аритметичните
ADJ	ароматен	ароматен
ADJ	ароматизирано	ароматизирано
ADJ	ароматична	ароматична
ADJ	ароматични	ароматични
ADJ	ароматни	ароматни
ADJ	артилерийско	артилерийско
ADJ	артистична	артистична
ADJ	асансьорната	асансьорната
ADJ	асенова	асенова
ADJ	асеновски	асеновски
ADJ	астраганени	астраганени
ADJ	астрономически	астрономически
ADJ	асфалтов	асфалтов
ADJ	асфалтови	асфалтов+и
ADJ	атлантически	атлантически
ADJ	атлантическия	атлантически+я
ADJ	атомна	атомна
ADJ	атонската	атонската
ADJ	атонския	атонския
ADJ	атракционна	атракционна
ADJ	африканска	африканска
ADJ	африкански	африкански
ADJ	африканския	африкански+я
ADJ	ахнали	ахнали
ADJ	бабешки	бабешки
ADJ	бабешко	бабешко
ADJ	бабин	бабин
ADJ	бабина	бабин+а
ADJ	бабината	бабината
ADJ	бабини	бабин+и
ADJ	бабините	бабини+те
ADJ	бабиния	бабини+я
ADJ	бабиният	бабини+ят
ADJ	бабиното	бабиното
ADJ	бабичката	бабичката
ADJ	бабо	бабо
ADJ	бавен	бавен
ADJ	бавна	бавна
ADJ	бавни	бавни
ADJ	бавния	бавни+я
ADJ	бадемови	бадемови
ADJ	бадемово	бадемово
ADJ	бакърена	бакърена
ADJ	бакърени	бакърени
ADJ	балдуиновата	балдуиновата
ADJ	балетни	балетни
ADJ	балканска	балканска
ADJ	балкански	балкански
ADJ	балканский	балканский
ADJ	балканския	балкански+я
ADJ	балканско	балканско
ADJ	балканското	балканското
ADJ	балконския	балконския
ADJ	бална	бална
ADJ	балните	бална+те
ADJ	бамбукова	бамбукова
ADJ	бамбукови	бамбукови
ADJ	бамбуково	бамбуково
ADJ	банално	банално
ADJ	бананова	бананова
ADJ	бананови	бананови
ADJ	банична	банична
ADJ	банков	банков
ADJ	бански	бански
ADJ	банския	бански+я
ADJ	банският	бански+ят
ADJ	барабанен	барабанен
ADJ	барабанни	барабанни
ADJ	барабаски	барабаски
ADJ	барутна	барутна
ADJ	барутната	барутната
ADJ	баскервилските	баскервилските
ADJ	басни	басни
ADJ	басните	басня+те
ADJ	басня	басня
ADJ	басов	басов
ADJ	басовият	басов+ият
ADJ	батьовата	батьовата
ADJ	батьовото	батьовото
ADJ	бащи	бащи
ADJ	бащина	бащина
ADJ	бащината	бащината
ADJ	бащините	бащиния+е
ADJ	бащиния	бащиния
ADJ	бащиният	бащиния+т
ADJ	бащино	бащино
ADJ	бащиното	бащиното
ADJ	бащинският	бащинският
ADJ	бдителни	бдителни
ADJ	бебешка	бебешка
ADJ	бебешката	бебешката
ADJ	бебешки	бебешки
ADJ	бебо	бебо
ADJ	бебчо	бебчо
ADJ	бегливото	бегливото
ADJ	бегом	бегом
ADJ	беден	беден
ADJ	бедна	бедна
ADJ	бедната	бедната
ADJ	бедни	бедни
ADJ	бедните	бедна+те
ADJ	бедничкият	бедничкият
ADJ	бедния	бедни+я
ADJ	бедният	бедна+ят
ADJ	бедно	бедно
ADJ	бедното	бедното
ADJ	бедняк	бедняк
ADJ	бедняшките	бедняшкия+е
ADJ	бедняшкия	бедняшкия
ADJ	бежанските	бежанските
ADJ	бежко	бежко
ADJ	безбожно	безбожно
ADJ	безбрежна	безбрежна
ADJ	безбрежното	безбрежното
ADJ	безбродна	безбродна
ADJ	безбройни	безбройни
ADJ	безбройните	безбройни+те
ADJ	безвестен	безвестен
ADJ	безвестни	безвестни
ADJ	безвкусен	безвкусен
ADJ	безвкусни	безвкусни
ADJ	безводен	безводен
ADJ	безводно	безводно
ADJ	безгласния	безгласния
ADJ	безгранична	безгранична
ADJ	безгранично	безгранично
ADJ	безгрижен	безгрижен
ADJ	безгрижна	безгрижна
ADJ	безгрижни	безгрижни
ADJ	безгрижните	безгрижна+те
ADJ	безгрижно	безгрижно
ADJ	бездеен	бездеен
ADJ	бездна	бездна
ADJ	бездомна	бездомна
ADJ	бездомната	бездомната
ADJ	бездомни	бездомни
ADJ	бездомните	бездомна+те
ADJ	бездомният	бездомна+ят
ADJ	бездънен	бездънен
ADJ	бездънни	бездънни
ADJ	безжалостен	безжалостен
ADJ	безжизнен	безжизнен
ADJ	безжизнена	безжизнен+а
ADJ	безжизнени	безжизнен+и
ADJ	безжизненото	безжизненото
ADJ	беззащитна	беззащитна
ADJ	беззащитните	беззащитна+те
ADJ	беззащитно	беззащитно
ADJ	беззъбото	беззъбото
ADJ	безизразен	безизразен
ADJ	безизразно	безизразно
ADJ	безинтересни	безинтересни
ADJ	безинтересно	безинтересно
ADJ	безконечен	безконечен
ADJ	безкористна	безкористна
ADJ	безкраен	безкраен
ADJ	безкрайна	безкрайна
ADJ	безкрайни	безкрайни
ADJ	безкрайните	безкрайна+те
ADJ	безкрайно	безкрайно
ADJ	безкрайното	безкрайното
ADJ	безлистни	безлистни
ADJ	безлични	безлични
ADJ	безлунна	безлунна
ADJ	безлюден	безлюден
ADJ	безлюдна	безлюдна
ADJ	безлюдните	безлюдна+те
ADJ	безлюдно	безлюдно
ADJ	безмеждната	безмеждната
ADJ	безмерни	безмерни
ADJ	безмерния	безмерни+я
ADJ	безмесни	безмесни
ADJ	безметежни	безметежни
ADJ	безмилостен	безмилостен
ADJ	безмълвен	безмълвен
ADJ	безмълвна	безмълвна
ADJ	безмълвни	безмълвни
ADJ	безмълвно	безмълвно
ADJ	безмярна	безмярна
ADJ	безнадеждна	безнадеждна
ADJ	безнадеждно	безнадеждно
ADJ	безнаказана	безнаказана
ADJ	безнаказаното	безнаказаното
ADJ	безоблачно	безоблачно
ADJ	безоблачното	безоблачното
ADJ	безобразен	безобразен
ADJ	безобразна	безобразна
ADJ	безобразни	безобразни
ADJ	безобразно	безобразно
ADJ	безопасен	безопасен
ADJ	безопасна	безопасна
ADJ	безопасни	безопасни
ADJ	безопасно	безопасно
ADJ	безочлив	безочлив
ADJ	безплатни	безплатни
ADJ	безплатно	безплатно
ADJ	безплодна	безплодна
ADJ	безплодната	безплодната
ADJ	безплодни	безплодни
ADJ	безплодното	безплодното
ADJ	безподобен	безподобен
ADJ	безподобна	безподобна
ADJ	безполезна	безполезна
ADJ	безполезни	безполезни
ADJ	безполезно	безполезно
ADJ	безпомощен	безпомощен
ADJ	безпомощна	безпомощна
ADJ	безпомощни	безпомощни
ADJ	безпомощните	безпомощна+те
ADJ	безпомощно	безпомощно
ADJ	безпределна	безпределна
ADJ	безработен	безработен
ADJ	безработни	безработни
ADJ	безработните	безработни+те
ADJ	безработното	безработното
ADJ	безрадостно	безрадостно
ADJ	безразличен	безразличен
ADJ	безразлична	безразлична
ADJ	безразлично	безразлично
ADJ	безразсъдно	безразсъдно
ADJ	безразсъдното	безразсъдното
ADJ	безръкото	безръкото
ADJ	безсилен	безсилен
ADJ	безсилна	безсилна
ADJ	безсилни	безсилни
ADJ	безславен	безславен
ADJ	безславния	безславния
ADJ	безсмислен	безсмислен
ADJ	безсмислена	безсмислен+а
ADJ	безсмислени	безсмислен+и
ADJ	безсмислено	безсмислен+о
ADJ	безсмислица	безсмислица
ADJ	безсмъртен	безсмъртен
ADJ	безсмъртна	безсмъртна
ADJ	безсмъртните	безсмъртна+те
ADJ	безсолно	безсолно
ADJ	безспирно	безспирно
ADJ	безспорен	безспорен
ADJ	безстопанствен	безстопанствен
ADJ	безстопанствени	безстопанствен+и
ADJ	безстрашен	безстрашен
ADJ	безстрашни	безстрашни
ADJ	безстрашните	безстрашни+те
ADJ	безстрашният	безстрашни+ят
ADJ	безстрашно	безстрашно
ADJ	безстрашното	безстрашното
ADJ	безсъвестни	безсъвестни
ADJ	безсънни	безсънни
ADJ	безсънните	безсънни+те
ADJ	безсърдечен	безсърдечен
ADJ	безсърдечна	безсърдечна
ADJ	безсърдечния	безсърдечния
ADJ	безумен	безумен
ADJ	безумна	безумна
ADJ	безумни	безумни
ADJ	безумно	безумно
ADJ	безупречно	безупречно
ADJ	безуспешни	безуспешни
ADJ	безутешен	безутешен
ADJ	безутешна	безутешна
ADJ	безутешното	безутешното
ADJ	безучастен	безучастен
ADJ	безформена	безформена
ADJ	безхарактерен	безхарактерен
ADJ	безцветна	безцветна
ADJ	безцветни	безцветни
ADJ	безценен	безценен
ADJ	безценни	безценни
ADJ	безценно	безценно
ADJ	безчет	безчет
ADJ	безчислени	безчислени
ADJ	безчувствен	безчувствен
ADJ	безчувствена	безчувствен+а
ADJ	безчувствени	безчувствен+и
ADJ	безчувствения	безчувствени+я
ADJ	безчувствено	безчувствен+о
ADJ	безшумна	безшумна
ADJ	безшумни	безшумни
ADJ	бела	бела
ADJ	белгийската	белгийската
ADJ	белезникава	белезникава
ADJ	белезникави	белезникави
ADJ	белезникавосивия	белезникавосивия
ADJ	бели	бели
ADJ	белите	бела+те
ADJ	беличко	беличко
ADJ	беличък	беличък
ADJ	белия	бели+я
ADJ	белият	бела+ят
ADJ	бело	бело
ADJ	белобрад	белобрад
ADJ	белобрадия	белобрадия
ADJ	белобрадият	белобрадия+т
ADJ	беловласият	беловласият
ADJ	белоглавият	белоглавият
ADJ	белокаменен	белокаменен
ADJ	белокаменна	белокаменна
ADJ	белокорото	белокорото
ADJ	белокоса	белокоса
ADJ	белокосата	белокосата
ADJ	беломорският	беломорският
ADJ	беломорското	беломорското
ADJ	белорунни	белорунни
ADJ	белосана	белосана
ADJ	белосани	белосани
ADJ	белосания	белосани+я
ADJ	белослатинския	белослатинския
ADJ	белоснежка	белоснежка
ADJ	белоснежна	белоснежна
ADJ	белоснежната	белоснежната
ADJ	белязана	белязана
ADJ	белязаната	белязаната
ADJ	белязано	белязано
ADJ	белязаното	белязаното
ADJ	бенгалски	бенгалски
ADJ	бермудските	бермудските
ADJ	бесен	бесен
ADJ	бесни	бесни
ADJ	бесният	бесни+ят
ADJ	бети	бети
ADJ	бетовен	бетовен
ADJ	бетонните	бетонните
ADJ	библейската	библейската
ADJ	библейски	библейски
ADJ	библейския	библейски+я
ADJ	библейският	библейски+ят
ADJ	библиотечен	библиотечен
ADJ	библиотечният	библиотечният
ADJ	бивни	бивни
ADJ	биволска	биволска
ADJ	биволски	биволски
ADJ	биволското	биволското
ADJ	бившата	бившата
ADJ	бидейки	бидейки
ADJ	бизоновата	бизоновата
ADJ	бизоново	бизоново
ADJ	бизонските	бизонските
ADJ	билков	билков
ADJ	билкова	билков+а
ADJ	билярдна	билярдна
ADJ	бирената	бирената
ADJ	бисерен	бисерен
ADJ	бисерна	бисерна
ADJ	бисерни	бисерни
ADJ	бисерния	бисерни+я
ADJ	бисерно	бисерно
ADJ	бистра	бистра
ADJ	бистрата	бистрата
ADJ	бистри	бистри
ADJ	бистрите	бистра+те
ADJ	бистрия	бистри+я
ADJ	бистрият	бистра+ят
ADJ	бистро	бистро
ADJ	бити	бити
ADJ	бифокални	бифокални
ADJ	бифтечния	бифтечния
ADJ	блага	блага
ADJ	благи	благи
ADJ	благодарен	благодарен
ADJ	благодарна	благодарна
ADJ	благодарната	благодарната
ADJ	благодарни	благодарни
ADJ	благодарните	благодарна+те
