utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_034816,SIM,2;07.29,SIM,da si vzemesh vilicata.,"['da', 'si', 'vzemesh', 'vilicata', '.']","['da', 'si', 'vzemesh', 'vilicata', '.']","['da', 'si', 'vzemesh', 'vilicata']",4,Да си вземеш вилицата.,"['да', 'си', 'вземеш', 'вилицата']",Да си вземеш вилицата .,Да си вземеш вилицата .,,да си вземеш вилицата
UTT_026459,SIM,1;09.25,SIM,"eej, tam, eeej, tam .","['eej', ',', 'tam', ',', 'eeej', ',', 'tam', '.']","['eej', ',', 'tam', ',', 'eeej', ',', 'tam', '.']","['eej', 'tam', 'eeej', 'tam']",4,"Еей, там, ееей, там .","['еей', 'там', 'ееей', 'там']","Еей , там , ееей , там .","Еей , там , ееей , там .",,еей там ееей там
UTT_028704,SIM,2;00.06,SIM,mama pravi azhinki [: snezhinka] .,"['mama', 'pravi', 'snezhinka', '.']","['mama', 'pravi', 'snezhinka', '.']","['mama', 'pravi', 'snezhinka']",3,Мама прави ажинки [: снежинка] .,"['мама', 'прави', 'ажинки', 'снежинка']",Мама прави ажинки .,Мама прави снежинка .,,мама прави снежинка
UTT_010296,BOG,2;04.11,BOG,lodkata iskala da tyne [: trygne] .,"['lodkata', 'iskala', 'da', 'trygne', '.']","['lodkata', 'iskala', 'da', 'trygne', '.']","['lodkata', 'iskala', 'da', 'trygne']",4,Лодката искала да тъне [: тръгне] .,"['лодката', 'искала', 'да', 'тъне', 'тръгне']",Лодката искала да тъне .,Лодката искала да тръгне .,,лодката искала да тръгне
UTT_032450,SIM,2;05.28,SIM,shte vyrtja pedalite.,"['shte', 'vyrtja', 'pedalite', '.']","['shte', 'vyrtja', 'pedalite', '.']","['shte', 'vyrtja', 'pedalite']",3,Ще въртя педалите.,"['ще', 'въртя', 'педалите']",Ще въртя педалите .,Ще въртя педалите .,,ще въртя педалите
UTT_020003,SIM,1;04.25,SIM,"dodi [: dojde], dodi [: dojde], dodi [: dojde], dodi [: dojde] .","['dojde', ',', 'dojde', ',', 'dojde', ',', 'dojde', '.']","['dojde', ',', 'dojde', ',', 'dojde', ',', 'dojde', '.']","['dojde', 'dojde', 'dojde', 'dojde']",4,"Доди [: дойде], доди [: дойде], доди [: дойде], доди [: дойде] .","['доди', 'дойде', 'доди', 'дойде', 'доди', 'дойде', 'доди', 'дойде']","Доди , доди , доди , доди .",дойде дойде дойде дойде .,,дойде дойде дойде дойде
UTT_007092,ALE,2;03.12,ALE,kakvo tova ?,"['kakvo', 'tova', '?']","['kakvo', 'tova', '?']","['kakvo', 'tova']",2,Какво това ?,"['какво', 'това']",Какво това ?,Какво това ?,Какво това ?,какво това
UTT_026129,SIM,1;09.21,SIM,celi mama topkata .,"['celi', 'mama', 'topkata', '.']","['celi', 'mama', 'topkata', '.']","['celi', 'mama', 'topkata']",3,Цели мама топката .,"['цели', 'мама', 'топката']",Цели мама топката .,Цели мама топката .,,цели мама топката
UTT_035752,SIM,2;09.18,SIM,zashto imam bodi?,"['zashto', 'imam', 'bod', '?']","['zashto', 'imam', 'bod', '?']","['zashto', 'imam', 'bod']",3,Защо имам боди?,"['защо', 'имам', 'боди']",Защо имам боди ?,Защо имам боди ?,Защо имам боди ?,защо имам боди
UTT_020302,SIM,1;05.02,SIM,"pisi [: spi si], pisi [: spi si] .","['spi', 'si', ',', 'spi', 'si', '.']","['spi', 'si', ',', 'spi', 'si', '.']","['spi', 'si', 'spi', 'si']",4,"Писи [: спи си], писи [: спи си] .","['писи', 'спи', 'си', 'писи', 'спи', 'си']","Писи , писи .",спи спи си .,,спи спи си
